Diameter ,X,Y,Color,,
48.5085144042969,477,73,blue,7.34637301709533,1.12550107924761
106.169975280762,142,71,green,2.18697058370553,1.09466543324083
23.3517150878906,463,359,red,7.13075619898352,5.5349984582177
105.696548461914,125,341,blue,1.92515016171261,5.25747764415665
118.983810424805,139,85,green,2.14076697982443,1.31051495528831
96.099609375,455,373,red,7.00754658863391,5.75084798026519
112.076118469238,125,342,blue,1.92515016171261,5.27289546716004
117.113990783691,139,83,green,2.14076697982443,1.27967930928153
94.5133743286133,455,373,red,7.00754658863391,5.75084798026519
114.571006774902,125,343,blue,1.92515016171261,5.28831329016343
116.815055847168,140,83,green,2.15616818111813,1.27967930928153
95.1175842285156,455,374,red,7.00754658863391,5.76626580326858
115.682067871094,125,344,blue,1.92515016171261,5.30373111316682
115.865531921387,139,83,green,2.14076697982443,1.27967930928153
95.1287384033203,456,373,red,7.02294778992761,5.75084798026519
115.95108795166,125,345,blue,1.92515016171261,5.31914893617021
117.713272094727,139,81,green,2.14076697982443,1.24884366327475
94.6815948486328,465,372,red,7.16155860157092,5.7354301572618
116.109252929688,125,345,blue,1.92515016171261,5.31914893617021
117.130516052246,139,82,green,2.14076697982443,1.26426148627814
94.2942352294922,466,371,red,7.17695980286462,5.7200123342584
115.791000366211,125,345,blue,1.92515016171261,5.31914893617021
116.855667114258,139,81,green,2.14076697982443,1.24884366327475
95.0785446166992,466,370,red,7.17695980286462,5.70459451125501
115.563041687012,125,345,blue,1.92515016171261,5.31914893617021
116.725570678711,139,82,green,2.14076697982443,1.26426148627814
95.251335144043,463,370,red,7.13075619898352,5.70459451125501
115.71215057373,125,345,blue,1.92515016171261,5.31914893617021
117.130516052246,139,81,green,2.14076697982443,1.24884366327475
95.0785446166992,464,369,red,7.14615740027722,5.68917668825162
115.926193237305,125,345,blue,1.92515016171261,5.31914893617021
116.7255859375,139,81,green,2.14076697982443,1.24884366327475
94.8774795532227,465,370,red,7.16155860157092,5.70459451125501
90.9321365356445,160,60,red,,
91.1128005981445,160,60,red,,
90.6048812866211,161,59,red,,
79.6903228759766,166,57,red,,
93.6620635986328,159,59,red,,
92.9628524780273,160,60,red,,
90.9321365356445,161,58,red,,
83.2326736450195,164,57,red,,
73.3111190795898,471,325,blue,,
105.676826477051,472,346,blue,,
89.8995895385742,153,326,red,,
108.2255859375,472,346,blue,,
89.7046585083008,154,322,red,,
109.216667175293,472,347,blue,,
67.408805847168,159,316,red,,
108.720558166504,472,347,blue,,
59.3122634887695,166,314,red,,
85.5458221435547,104,55,green,,
121.670860290527,104,76,green,,
122.511405944824,105,75,green,,
122.511405944824,105,75,green,,
122.138305664063,105,75,green,,
13.8189001083374,465,354,red,,
109.998023986816,476,374,red,,
108.931938171387,479,371,red,,
108.931938171387,482,367,red,,
101.432777404785,480,360,red,,
113.131332397461,476,376,red,,
113.32341003418,477,376,red,,
113.32341003418,481,374,red,,
112.199104309082,487,372,red,,
115.346199035645,488,375,red,,
113.178207397461,488,374,red,,
113.79052734375,488,374,red,,
114.742179870605,492,374,red,,
114.418121337891,496,372,red,,
112.175468444824,497,371,red,,
111.934036254883,495,368,red,,
112.199104309082,496,369,red,,
101.071296691895,482,357,red,,
111.929298400879,497,367,red,,
111.487686157227,499,369,red,,
112.416374206543,495,369,red,,
111.758560180664,487,372,red,,
113.734580993652,487,373,red,,
113.32341003418,491,371,red,,
112.175468444824,496,369,red,,
110.742965698242,499,365,red,,
111.777542114258,499,367,red,,
111.402015686035,500,366,red,,
108.071495056152,502,365,red,,
111.092079162598,498,363,red,,
110.790855407715,499,366,red,,
110.790855407715,500,365,red,,
99.4363479614258,492,356,red,,
101.964797973633,484,354,red,,
89.5863189697266,487,365,red,,
148.571990966797,103,99,red,,
138.759780883789,102,98,red,,
136.061401367188,102,98,red,,
133.27294921875,102,99,red,,
127.225227355957,492,395,red,,
127.739723205566,493,397,red,,
126.869918823242,496,396,red,,
127.708358764648,493,396,red,,
127.240425109863,495,396,red,,
127.207969665527,496,396,red,,
127.240425109863,495,395,red,,
126.940078735352,495,395,red,,
112.63745880127,486,369,red,,
137.460632324219,102,99,red,,
134.085464477539,102,99,red,,
128.535629272461,490,393,red,,
127.065986633301,500,389,red,,
99.7825012207031,436,327,red,,
134.851348876953,109,59,red,,
122.591926574707,108,58,red,,
120.521621704102,108,57,red,,
119.018348693848,108,57,red,,
86.5695343017578,354,299,red,,
105.969932556152,352,310,green,,
99.2227401733399,350,351,red,,
105.969932556152,351,309,green,,
87.7134399414063,350,353,red,,
103.293128967285,350,307,green,,
84.560432434082,352,353,red,,
95.928337097168,348,301,green,,
84.5165100097656,352,348,red,,
97.9854278564453,480,37,red,,
121.334701538086,481,64,red,,
90.8504333496094,122,311,green,,
119.737228393555,481,63,red,,
90.9263076782227,123,308,green,,
118.896987915039,481,63,red,,
*************,*************,*************,*************,,
112.047714233398,547,351,red,,
104.029998779297,200,346,blue,,
126.056175231934,540,65,green,,
132.803344726563,174,95,red,,
107.508506774902,201,347,blue,,
127.786430358887,539,66,green,,
133.52311706543,548,374,red,,
111.720581054688,201,347,blue,,
127.786430358887,539,66,green,,
132.945831298828,553,375,red,,
*************,*************,*************,*************
109.97872924804688,524,347,red
108.19412994384766,160,350,blue
121.75366973876953,528,72,green
135.4087371826172,148,86,red
112.31251525878906,161,350,blue
124.02842712402344,532,72,green
134.1320343017578,148,85,red
114.49690246582031,161,351,blue
124.73635864257812,532,73,green
133.76962280273438,148,83,red
116.68131256103516,161,352,blue
124.69808197021484,532,73,green
124.15312194824219,526,375,red
*************,*************,*************,*************
113.3337173461914,549,350,red
98.28812408447266,186,368,blue
125.76548767089844,552,40,green
139.56089782714844,538,69,red
103.08236694335938,187,369,blue
129.57546997070312,542,42,green
137.27792358398438,164,65,red
99.91000366210938,188,365,blue
122.24065399169922,543,34,green
137.04806518554688,549,367,red
118.02379608154297,189,376,blue
136.5711669921875,541,48,green
135.04043579101562,551,374,red
*************,*************,*************,*************
